Group,Drop Number,Rotor Length,Drop Time (s),Obstacles
1,1,short,2.5,
1,2,short,2.36,
1,3,short,2.36,
1,4,short,2.26,
1,5,short,2.58,
1,6,short,1.98,
1,7,short,2.53,
1,8,short,2.43,
1,9,short,2.55,
1,10,short,2.78,
1,11,short,2.25,
1,12,short,2.48,
1,13,short,2.36,
1,14,short,2.4,
1,15,short,2.43,
1,16,short,2,
1,17,short,2.11,
1,18,short,2.67,
1,19,short,2.48,
1,20,short,2.31,
1,21,short,2.51,
1,22,short,2.13,
1,23,short,1.95,
1,24,short,2.46,
1,25,short,2.45,
1,26,short,2.51,
1,27,short,2.11,
1,1,long,3.15,
1,2,long,3.28,
1,3,long,3.45,
1,4,long,3.6,
1,5,long,3.33,
1,6,long,3.56,
1,7,long,2.91,
1,8,long,3.15,
1,9,long,2.65,
1,10,long,2.43,
1,11,long,2.63,
1,12,long,3.21,
1,13,long,2.31,
1,14,long,3.48,
1,15,long,2.85,
1,16,long,3.38,
1,17,long,2.78,
1,18,long,2.63,hit fire alarm
1,19,long,2.93,
1,20,long,2.41,
1,21,long,3.26,
1,22,long,3.2,
1,23,long,3.06,
1,24,long,3.06,
1,25,long,3.11,
1,26,long,3.03,
1,27,long,2.1,
2,1,Long,2.71,
2,2,Long,2.36,
2,3,Long,2.4,hit wall
2,4,Long,3.48,
2,5,Long,3.46,hit wall
2,6,Long,2.96,
2,7,Long,2.41,
2,8,Long,2.98,
2,9,Long,2.53,
2,10,Long,2.83,
2,11,Long,3.16,
2,12,Long,2.58,
2,13,Long,2.96,
2,14,Long,3.24,
2,15,Long,3.18,
2,16,Long,2.71,
2,17,Long,3.25,
2,18,Long,2.78,
2,19,Long,3.48,
2,20,Long,3.33,
2,21,Long,2.94,
2,22,Long,2.65,
2,23,Long,2.76,hit wall
2,24,Long,3.33,
2,25,Long,2.93,
2,26,Long,3.62,
2,27,Long,2.68,
2,28,Long,3.15,
2,29,Long,3.23,
2,30,Long,2.72,
2,31,Long,2.72,hit wall
2,32,Long,3.01,
2,33,Long,2.7,
2,34,Long,2.8,
2,35,Long,3.25,
2,36,Long,2.81,
2,37,Long,2.81,
2,38,Long,2.71,
2,39,Long,3.13,
2,40,Long,2.85,
2,41,Long,3.16,
2,42,Long,3.13,
2,43,Long,2.56,hit wall
2,44,Long,2.8,
2,45,Long,2.88,
2,46,Long,2.88,
2,47,Long,2.96,hit wall
2,48,Long,1.89,
2,49,Long,2.33,
2,50,Long,2.43,
2,1,Short,2,
2,2,Short,2.65,hit wall
2,3,Short,2.05,
2,4,Short,2.14,
2,5,Short,2.36,hit wall
2,6,Short,1.88,
2,7,Short,1.43,
2,8,Short,1.86,
2,9,Short,1.85,
2,10,Short,1.86,
2,11,Short,1.93,
2,12,Short,1.81,hit wall
2,13,Short,2.21,
2,14,Short,2.64,hit wall
2,15,Short,2.06,
2,16,Short,2.09,
2,17,Short,2.03,
2,18,Short,2.1,
2,19,Short,1.94,
2,20,Short,2.11,
2,21,Short,0.85,
2,22,Short,1.81,
2,23,Short,1.83,
2,24,Short,2.11,
2,25,Short,0.68,
2,26,Short,2.01,hit wall
2,27,Short,2.04,
2,28,Short,1.86,
2,29,Short,1.95,
2,30,Short,0.73,
2,31,Short,1.76,
2,32,Short,1.68,
2,33,Short,2.15,
2,34,Short,2,
2,35,Short,1.94,
2,36,Short,2.13,
2,37,Short,1.64,
2,38,Short,1.86,
2,39,Short,1.09,
2,40,Short,1.66,
2,41,Short,2.11,hit wall
2,42,Short,1.76,
2,43,Short,1.71,
2,44,Short,1.43,
2,45,Short,1.96,
2,46,Short,1.59,
2,47,Short,1.78,
2,48,Short,1.81,
2,49,Short,2.03,
2,50,Short,2.03,
4,1,Short,3.11,
4,2,Short,2.15,
4,3,Short,2.29,
4,4,Short,2.06,
4,5,Short,2.15,
4,6,Short,2.01,
4,7,Short,2.26,
4,8,Short,2.34,
4,9,Short,2.56,
4,10,Short,2.58,
4,11,Short,2.13,
4,12,Short,2.28,
4,13,Short,1.98,
4,14,Short,1.76,
4,15,Short,2.21,
4,16,Short,2.43,
4,17,Short,1.69,
4,18,Short,2.13,
4,19,Short,2.06,
4,20,Short,2.16,
4,21,Short,1.68,
4,22,Short,2.11,
4,23,Short,2.16,
4,24,Short,2.24,
4,25,Short,2.33,
4,26,Short,2.01,
4,27,Short,2.14,
4,28,Short,1.78,
4,29,Short,2.23,
4,30,Short,1.78,
4,31,Short,1.98,
4,32,Short,2.2,
4,33,Short,2.04,
4,34,Short,1.59,
4,35,Short,2.39,
4,36,Short,1.89,
4,37,Short,1.86,
4,38,Short,2.26,
4,39,Short,2.19,
4,40,Short,2.13,
4,41,Short,1.99,
4,42,Short,2.16,
4,43,Short,1.86,
4,44,Short,1.99,
4,45,Short,2.06,
4,46,Short,1.96,
4,47,Short,1.81,
4,48,Short,2.15,
4,49,Short,2.06,
4,50,Short,1.97,
4,1,Long,2.64,
4,2,Long,2.24,
4,3,Long,2.58,
4,4,Long,3.1,
4,5,Long,2.31,
4,6,Long,2.74,
4,7,Long,2.54,
4,8,Long,3.14,
4,9,Long,2.94,
4,10,Long,2.49,
4,11,Long,3.3,
4,12,Long,2.21,
4,13,Long,2.46,
4,14,Long,2.89,
4,15,Long,3.04,
4,16,Long,2.84,
4,17,Long,2.49,
4,18,Long,2.89,
4,19,Long,3,
4,20,Long,2.79,
4,21,Long,2.99,
4,22,Long,2.18,
4,23,Long,2.63,
4,24,Long,3.01,
4,25,Long,2.46,
4,26,Long,2.86,
4,27,Long,2.63,
4,28,Long,3.6,
4,29,Long,3.25,
4,30,Long,2.86,
4,31,Long,3.01,
4,32,Long,2.93,
4,33,Long,2.56,
4,34,Long,2.41,
4,35,Long,3.46,
4,36,Long,2.44,
4,37,Long,2.7,
4,38,Long,2.29,
4,39,Long,2.88,
4,40,Long,2.61,
4,41,Long,2.99,
4,42,Long,3.13,
4,43,Long,2.29,
4,44,Long,2.61,
4,45,Long,2.94,
4,46,Long,2.88,
4,47,Long,2.96,
4,48,Long,2.44,
4,49,Long,2.65,
4,50,Long,2.71,
5,1,Long,3.52,
5,2,Long,3.01,
5,3,Long,3.19,
5,4,Long,3.3,
5,5,Long,3.07,
5,6,Long,3.46,
5,7,Long,2.87,
5,8,Short,2,
5,9,Short,2.34,
5,10,Short,2.11,
5,11,Short,2.11,
5,12,Short,2.52,
5,13,Short,2.22,
5,14,Short,2.44,
5,1,Long,3.17,
5,2,Long,3.14,
5,3,Long,2.56,
5,4,Long,3.24,
5,5,Long,3.02,
5,6,Long,2.54,
5,7,Long,2.79,
5,8,Short,2.21,
5,9,Short,2.27,
5,10,Short,2.26,
5,11,Short,2.14,
5,12,Short,2.24,
5,13,Short,2.26,
5,14,Short,2.06,
5,1,Long,2.12,
5,2,Long,2.11,
5,3,Long,2.67,
5,4,Long,2.89,
5,5,Long,3.06,
5,6,Long,2.53,
5,7,Long,2.92,
5,8,Short,2.11,
5,9,Short,1.71,
5,10,Short,1.71,
5,11,Short,1.78,
5,12,Short,1.5,
5,13,Short,1.69,
5,14,Short,1.76,
5,1,Long,3.56,
5,2,Long,3.47,
5,3,Long,3.72,
5,4,Long,2.92,
5,5,Long,3.32,
5,6,Long,3.47,
5,7,Long,3.16,
5,8,Short,2.04,
5,9,Short,2.51,
5,10,Short,2.49,
5,11,Short,2.48,
5,12,Short,2.51,
5,13,Short,2.21,
5,14,Short,2.34,
6,1,short,2.06,
6,2,short,1.89,
6,3,short,1.96,
6,4,short,1.96,
6,5,short,2.19,
6,6,short,2.08,
6,7,short,2.04,
6,8,short,1.76,
6,9,short,2.05,
6,10,short,2.2,
6,11,short,2.31,
6,12,short,2.21,
6,13,short,2.03,
6,14,short,2.13,
6,15,short,2.11,
6,16,short,2.22,
6,17,short,2.23,
6,18,short,2.05,
6,19,short,1.93,
6,20,short,2.08,
6,21,short,1.98,
6,22,short,2,
6,23,short,1.98,
6,24,short,2.04,
6,25,short,2.18,
6,26,short,2.28,
6,27,short,2.19,
6,28,short,2.44,
6,29,short,2.03,
6,30,short,2.31,
6,31,short,2.06,
6,32,short,2.23,
6,33,short,1.99,hit wall
6,34,short,2.04,
6,35,short,2.19,
6,36,short,1.93,
6,37,short,2.04,
6,38,short,2.04,
6,39,short,2.03,
6,40,short,2.3,
6,41,short,2.05,
6,42,short,2.3,
6,43,short,1.81,
6,44,short,2.17,
6,45,short,2,
6,46,short,2.14,
6,47,short,2.06,
6,48,short,2.15,
6,49,short,1.9,
6,50,short,1.94,
6,51,long,2.05,
6,52,long,2.56,
6,53,long,2.66,
6,54,long,2.83,
6,55,long,3.01,
6,56,long,2.85,
6,57,long,3.18,
